battery_nb,datetime,charge_nb,voltage_measured,current_measured,temperature_measured,current_charge,voltage_charge,ambiant_temp,sample_step,total_step,discharge_nb,capacity,end_of_cc_step,rolling_capacity,interpolated_capacity
5.0,2008-04-02 13:27:59.531,1.0,4.208658576268006,0.9243351182879201,26.897426902774104,0.917,4.661,24.0,275.0,789.0,0.0,0.0,190.0,1.8564874208181574,1.8564874208181574
5.0,2008-04-02 13:46:58.296,1.0,4.205406621802851,0.35245417098010456,25.262108675768243,0.348,4.386,24.0,409.0,789.0,0.0,0.0,190.0,1.8564874208181574,1.8564874208181574
5.0,2008-04-02 14:13:46.765,1.0,4.2058586017674635,0.11362512441535008,24.453786353038442,0.115,4.278,24.0,551.0,789.0,0.0,0.0,190.0,1.8564874208181574,1.8564874208181574
5.0,2008-04-02 14:48:04.921,1.0,4.205657342419933,0.03715074880347342,24.20755786193109,0.035,4.24,24.0,693.0,789.0,0.0,0.0,190.0,1.8564874208181574,1.8564874208181574
5.0,2008-04-02 14:52:17.374,1.0,4.205889041434545,0.03689068277692926,24.192721408531018,0.035,4.24,24.0,709.0,789.0,0.0,0.0,190.0,1.8564874208181574,1.8564874208181574
5.0,2008-04-02 14:56:40.265,1.0,4.20634632746409,0.03491850486187214,24.173778231660254,0.034,4.24,24.0,725.0,789.0,0.0,0.0,190.0,1.8564874208181574,1.8564874208181574
5.0,2008-04-02 15:01:14.234,1.0,4.206756539038635,0.03540575223186283,24.183746748653817,0.032,4.24,24.0,741.0,789.0,0.0,0.0,190.0,1.8564874208181574,1.8564874208181574
5.0,2008-04-02 15:05:38.281,1.0,4.207469554750741,0.030971145049469923,24.183445085686923,0.031,4.24,24.0,756.0,789.0,0.0,0.0,190.0,1.8564874208181574,1.8564874208181574
5.0,2008-04-02 15:10:11.890,1.0,4.189504097200757,-0.001188039755467092,24.64986145946214,0.0,0.003,24.0,772.0,789.0,0.0,0.0,190.0,1.8564874208181574,1.8564874208181574
5.0,2008-04-02 15:12:32.296,1.0,4.190982099805877,-0.0026713968497880584,24.575986268980003,0.0,0.003,24.0,780.0,789.0,0.0,0.0,190.0,1.8564874208181574,1.8564874208181574
5.0,2008-04-02 15:14:55.796,1.0,4.191077562801999,-0.002892444158252333,24.507040498124308,0.0,0.003,24.0,788.0,789.0,0.0,0.0,190.0,1.8564874208181574,1.8564874208181574
5.0,2008-04-02 17:03:25.781,2.0,3.993107148967504,1.5143079569601439,26.591192872564804,1.5,4.721,24.0,328.0,940.0,0.0,0.0,190.0,1.846327249719927,1.846327249719927
5.0,2008-04-02 17:28:43.359,2.0,4.1716136375139,1.5114221998394834,28.458083487312912,1.498,4.904,24.0,488.0,940.0,0.0,0.0,190.0,1.846327249719927,1.846327249719927
5.0,2008-04-02 18:06:40.343,2.0,4.2062108406248475,0.2664263329057379,25.84707237044178,0.265,4.348,24.0,657.0,940.0,0.0,0.0,190.0,1.846327249719927,1.846327249719927
