battery_nb,datetime,charge_nb,voltage_measured,current_measured,temperature_measured,current_charge,voltage_charge,ambiant_temp,sample_step,total_step,discharge_nb,capacity,end_of_cc_step,rest_period,cc_capacity,cv_capacity
5.0,2008-04-02 13:08:20.453,1.0,3.479393559379272,-4.030268477538787,24.66647981177477,-4.036,1.57,24.0,1.0,789.0,,,190.0,0.0,0.9955777410527187,0.0
5.0,2008-04-02 16:37:54.500,2.0,3.001950570776504,-3.361982908688226,29.335723138226193,-3.37,1.414,24.0,1.0,940.0,,,190.0,0.011274474928329455,0.995985961126913,0.0
5.0,2008-04-02 20:55:43.359,3.0,3.0358785775794024,-3.384407789097242,29.53875090986272,-3.387,1.419,24.0,1.0,937.0,,,190.0,0.013870097906057092,0.9951442870306397,0.0
5.0,2008-04-03 01:12:41.186,4.0,3.0661450551857485,-3.4122633601213583,29.436998002839278,-3.413,1.425,24.0,1.0,933.0,,,190.0,0.013824340243107167,0.9951552871199507,0.0
5.0,2008-04-03 05:27:51.625,5.0,3.0637656606174013,-3.403625146732859,29.461954848628785,-3.406,1.425,24.0,1.0,937.0,,,190.0,0.013728051171370482,0.9937511146471828,0.0
5.0,2008-04-03 09:44:37.563,6.0,3.0593224041262927,-3.3944513625869224,29.38941890950972,-3.4,1.419,24.0,1.0,952.0,,,190.0,0.013813680013157102,0.9912805090775129,0.0
5.0,2008-04-03 14:06:45.734,7.0,3.0533599221041614,-3.401390462320561,29.415840224980027,-3.405,1.425,24.0,1.0,952.0,,,190.0,0.014102609096973983,0.9910708457185379,0.0
5.0,2008-04-03 18:28:49.656,8.0,3.048720950345317,-3.385806497377117,29.490153889013243,-3.387,1.419,24.0,1.0,920.0,,,190.0,0.014098799246098567,0.9894895732850928,0.0
5.0,2008-04-03 22:38:29.953,9.0,3.0824222303522406,-3.43387007729948,29.647965946318276,-3.438,1.43,24.0,1.0,921.0,,,190.0,0.013432030510576981,0.9906216472209343,0.0
5.0,2008-04-04 02:48:08.672,10.0,3.075795646323062,-3.416543780338169,29.76331552449031,-3.419,1.425,24.0,1.0,921.0,,,190.0,0.013430615602438264,0.9908927908116019,0.0
5.0,2008-04-04 06:58:02.796,11.0,3.06985284508505,-3.4217714333372964,29.702670670276987,-3.427,1.425,24.0,1.0,920.0,,,190.0,0.013444428441397028,0.9876049836282647,0.0
5.0,2008-04-04 11:06:52.875,12.0,3.0612589860161115,-3.4044907346629887,29.783485183631193,-3.405,1.425,24.0,1.0,913.0,,,190.0,0.01338700271785831,0.9835169141166975,0.0
5.0,2008-04-04 15:06:02.469,13.0,3.34157125606709,-3.78388997609184,30.359497633866063,-3.772,1.506,24.0,1.0,897.0,,,190.0,0.012866512888388821,0.9839435386557881,0.20203435687354465
5.0,2008-04-04 19:05:21.765,14.0,3.092615790717664,-3.4380894291317374,30.02385219282033,-3.438,1.43,24.0,1.0,912.0,,,190.0,0.012875212152496443,0.9814647291805697,0.0356666672355982
5.0,2008-04-04 23:10:27.921,15.0,3.082964486167869,-3.4334448239833244,30.158368361411686,-3.438,1.43,24.0,1.0,951.0,,,190.0,0.013186222949071352,0.9758358251259966,0.14306364263841967
5.0,2008-04-05 03:28:59.734,16.0,3.0770823404741723,-3.432001975216655,30.039160328034484,-3.433,1.43,24.0,1.0,911.0,,,190.0,0.013908612458775994,0.9782211446975574,0.18210627803487284
5.0,2008-04-05 07:33:15.265,17.0,3.1099815648289453,-3.482051074636857,29.82517287088846,-3.482,1.441,24.0,1.0,914.0,,,190.0,0.013140830221237054,0.9711707433229235,0.17330350378960385
5.0,2008-04-05 11:38:24.624,18.0,3.1054460082871422,-3.4790104488850004,29.87755416633753,-3.477,1.441,24.0,1.0,911.0,,,190.0,0.013189094907733146,0.9528968743529133,0.2627483073178355
5.0,2008-04-05 15:42:14.031,19.0,3.098521142673477,-3.461446831236046,30.07904136560168,-3.463,1.435,24.0,1.0,913.0,,,190.0,0.013117406228704843,0.9165342424695463,0.39280167490699386
5.0,2008-04-05 19:46:38.657,20.0,3.089171188226161,-3.450379445041623,30.310419026910747,-3.454,1.43,24.0,1.0,922.0,,,190.0,0.013148985220933902,0.9000916842499518,0.44970449749326535
5.0,2008-04-18 17:34:25.406,21.0,3.235784344365443,-3.646980102654795,24.439197161110567,-3.653,1.479,24.0,1.0,933.0,,,190.0,1.0,0.6615031019039642,0.48632302813226463
